row_index,inquiry,segment,city,language_name,text,reference_audio,synth_audio,ground_truth_copy,transcription,model_config,model_checkpoint,model_info
10,NURC_RE_DID_025,NURC_RE_DID_025_Inf-ue_232_551.386_556.744.wav,recife,recife,anteontem mesmo eu fui assistir um filme gostei fui terminar quinze pras duas da madrugada,/workspace/data/data/inference_data/NURC_RE_DID_025_Inf-ue_232_551.386_556.744.wav,/workspace/data/data/inference_results/NURC_RE_DID_025_Inf-ue_232_551.386_556.744-syntacc-tornado-750Ksteps.wav,/workspace/data/data/inference_results/NURC_RE_DID_025_Inf-ue_232_551.386_556.744-gt.wav,/workspace/data/data/inference_results/NURC_RE_DID_025_Inf-ue_232_551.386_556.744-gt.txt,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/config.json,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/checkpoint_750000.pth,syntacc-tornado-750Ksteps.wav
11,NURC_RE_DID_025,NURC_RE_DID_025_Inf-ue_124_74.476_79.54.wav,recife,recife,a sala mesmo é num num sei assim o nome especial pra isso não,/workspace/data/data/inference_data/NURC_RE_DID_025_Inf-ue_124_74.476_79.54.wav,/workspace/data/data/inference_results/NURC_RE_DID_025_Inf-ue_124_74.476_79.54-syntacc-tornado-750Ksteps.wav,/workspace/data/data/inference_results/NURC_RE_DID_025_Inf-ue_124_74.476_79.54-gt.wav,/workspace/data/data/inference_results/NURC_RE_DID_025_Inf-ue_124_74.476_79.54-gt.txt,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/config.json,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/checkpoint_750000.pth,syntacc-tornado-750Ksteps.wav
12,NURC_RE_DID_025,NURC_RE_DID_025_Inf-ue_182_397.458_402.352.wav,recife,recife,a televisão universitária mesmo eu quase nunca assisto que é aqueles programas educativos num sei o quê,/workspace/data/data/inference_data/NURC_RE_DID_025_Inf-ue_182_397.458_402.352.wav,/workspace/data/data/inference_results/NURC_RE_DID_025_Inf-ue_182_397.458_402.352-syntacc-tornado-750Ksteps.wav,/workspace/data/data/inference_results/NURC_RE_DID_025_Inf-ue_182_397.458_402.352-gt.wav,/workspace/data/data/inference_results/NURC_RE_DID_025_Inf-ue_182_397.458_402.352-gt.txt,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/config.json,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/checkpoint_750000.pth,syntacc-tornado-750Ksteps.wav
13,NURC_RE_DID_025,NURC_RE_DID_025_Inf-ue_190_421.197_425.839.wav,recife,recife,eu gostava demais no tempo em que o chacrinha não tinha cartaz eu gostava de assistir chacrina,/workspace/data/data/inference_data/NURC_RE_DID_025_Inf-ue_190_421.197_425.839.wav,/workspace/data/data/inference_results/NURC_RE_DID_025_Inf-ue_190_421.197_425.839-syntacc-tornado-750Ksteps.wav,/workspace/data/data/inference_results/NURC_RE_DID_025_Inf-ue_190_421.197_425.839-gt.wav,/workspace/data/data/inference_results/NURC_RE_DID_025_Inf-ue_190_421.197_425.839-gt.txt,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/config.json,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/checkpoint_750000.pth,syntacc-tornado-750Ksteps.wav
14,NURC_RE_DID_025,NURC_RE_DID_025_Inf-ue_176_383.461_387.799.wav,recife,recife,quer dizer pra divertimento é bom agora instrutivo não é não,/workspace/data/data/inference_data/NURC_RE_DID_025_Inf-ue_176_383.461_387.799.wav,/workspace/data/data/inference_results/NURC_RE_DID_025_Inf-ue_176_383.461_387.799-syntacc-tornado-750Ksteps.wav,/workspace/data/data/inference_results/NURC_RE_DID_025_Inf-ue_176_383.461_387.799-gt.wav,/workspace/data/data/inference_results/NURC_RE_DID_025_Inf-ue_176_383.461_387.799-gt.txt,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/config.json,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/checkpoint_750000.pth,syntacc-tornado-750Ksteps.wav
15,NURC_RE_DID_032,NURC_RE_DID_032_Inf-ue_760_1751.923_1758.73.wav,recife,recife,do ponto de vista de oportunidade então interrompendo aqui eu não sei dizer o que eu posso afirmar é que os nutri nutricionistas,/workspace/data/data/inference_data/NURC_RE_DID_032_Inf-ue_760_1751.923_1758.73.wav,/workspace/data/data/inference_results/NURC_RE_DID_032_Inf-ue_760_1751.923_1758.73-syntacc-tornado-750Ksteps.wav,/workspace/data/data/inference_results/NURC_RE_DID_032_Inf-ue_760_1751.923_1758.73-gt.wav,/workspace/data/data/inference_results/NURC_RE_DID_032_Inf-ue_760_1751.923_1758.73-gt.txt,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/config.json,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/checkpoint_750000.pth,syntacc-tornado-750Ksteps.wav
16,NURC_RE_DID_032,NURC_RE_DID_032_Inf-ue_916_2144.776_2150.552.wav,recife,recife,tudo aquilo que ele aprendeu na escola ele não está utilizando ele tá trabalhando num nível muito abaixo daquele,/workspace/data/data/inference_data/NURC_RE_DID_032_Inf-ue_916_2144.776_2150.552.wav,/workspace/data/data/inference_results/NURC_RE_DID_032_Inf-ue_916_2144.776_2150.552-syntacc-tornado-750Ksteps.wav,/workspace/data/data/inference_results/NURC_RE_DID_032_Inf-ue_916_2144.776_2150.552-gt.wav,/workspace/data/data/inference_results/NURC_RE_DID_032_Inf-ue_916_2144.776_2150.552-gt.txt,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/config.json,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/checkpoint_750000.pth,syntacc-tornado-750Ksteps.wav
17,NURC_RE_DID_032,NURC_RE_DID_032_Inf-ue_953_2228.898_2234.004.wav,recife,recife,dificilmente colocaria um filho seu numa escola técnica porque aquilo ali vai ser o quê,/workspace/data/data/inference_data/NURC_RE_DID_032_Inf-ue_953_2228.898_2234.004.wav,/workspace/data/data/inference_results/NURC_RE_DID_032_Inf-ue_953_2228.898_2234.004-syntacc-tornado-750Ksteps.wav,/workspace/data/data/inference_results/NURC_RE_DID_032_Inf-ue_953_2228.898_2234.004-gt.wav,/workspace/data/data/inference_results/NURC_RE_DID_032_Inf-ue_953_2228.898_2234.004-gt.txt,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/config.json,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/checkpoint_750000.pth,syntacc-tornado-750Ksteps.wav
18,NURC_RE_DID_032,NURC_RE_DID_032_Inf-ue_1122_2614.962_2619.922.wav,recife,recife,na minha opinião toda a ênfase devia ser dada a preparação a nível médio,/workspace/data/data/inference_data/NURC_RE_DID_032_Inf-ue_1122_2614.962_2619.922.wav,/workspace/data/data/inference_results/NURC_RE_DID_032_Inf-ue_1122_2614.962_2619.922-syntacc-tornado-750Ksteps.wav,/workspace/data/data/inference_results/NURC_RE_DID_032_Inf-ue_1122_2614.962_2619.922-gt.wav,/workspace/data/data/inference_results/NURC_RE_DID_032_Inf-ue_1122_2614.962_2619.922-gt.txt,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/config.json,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/checkpoint_750000.pth,syntacc-tornado-750Ksteps.wav
19,NURC_RE_DID_032,NURC_RE_DID_032_Inf-ue_862_2014.752_2018.794.wav,recife,recife,mas há essa mentalidade ainda que na minha opinião precisa acabar,/workspace/data/data/inference_data/NURC_RE_DID_032_Inf-ue_862_2014.752_2018.794.wav,/workspace/data/data/inference_results/NURC_RE_DID_032_Inf-ue_862_2014.752_2018.794-syntacc-tornado-750Ksteps.wav,/workspace/data/data/inference_results/NURC_RE_DID_032_Inf-ue_862_2014.752_2018.794-gt.wav,/workspace/data/data/inference_results/NURC_RE_DID_032_Inf-ue_862_2014.752_2018.794-gt.txt,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/config.json,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/checkpoint_750000.pth,syntacc-tornado-750Ksteps.wav
20,NURC_RE_DID_037,NURC_RE_DID_037_Inf-ue_715_1380.403_1386.318.wav,recife,recife,apesar de fazer muito tempo que eu não vejo um bonde na minha vida mas ainda alcancei o bonde,/workspace/data/data/inference_data/NURC_RE_DID_037_Inf-ue_715_1380.403_1386.318.wav,/workspace/data/data/inference_results/NURC_RE_DID_037_Inf-ue_715_1380.403_1386.318-syntacc-tornado-750Ksteps.wav,/workspace/data/data/inference_results/NURC_RE_DID_037_Inf-ue_715_1380.403_1386.318-gt.wav,/workspace/data/data/inference_results/NURC_RE_DID_037_Inf-ue_715_1380.403_1386.318-gt.txt,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/config.json,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/checkpoint_750000.pth,syntacc-tornado-750Ksteps.wav
21,NURC_RE_DID_037,NURC_RE_DID_037_Inf-ue_650_1218.126_1223.865.wav,recife,recife,quer dizer em termos de ônibus tá havendo uma melhora muito grande do que tinha a uns dois anos atrás pra cá,/workspace/data/data/inference_data/NURC_RE_DID_037_Inf-ue_650_1218.126_1223.865.wav,/workspace/data/data/inference_results/NURC_RE_DID_037_Inf-ue_650_1218.126_1223.865-syntacc-tornado-750Ksteps.wav,/workspace/data/data/inference_results/NURC_RE_DID_037_Inf-ue_650_1218.126_1223.865-gt.wav,/workspace/data/data/inference_results/NURC_RE_DID_037_Inf-ue_650_1218.126_1223.865-gt.txt,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/config.json,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/checkpoint_750000.pth,syntacc-tornado-750Ksteps.wav
22,NURC_RE_DID_037,NURC_RE_DID_037_Inf-ue_917_1853.536_1858.444.wav,recife,recife,eu não acho que é bem sinalizado não mas não é das piores não poderia ser melhor,/workspace/data/data/inference_data/NURC_RE_DID_037_Inf-ue_917_1853.536_1858.444.wav,/workspace/data/data/inference_results/NURC_RE_DID_037_Inf-ue_917_1853.536_1858.444-syntacc-tornado-750Ksteps.wav,/workspace/data/data/inference_results/NURC_RE_DID_037_Inf-ue_917_1853.536_1858.444-gt.wav,/workspace/data/data/inference_results/NURC_RE_DID_037_Inf-ue_917_1853.536_1858.444-gt.txt,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/config.json,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/checkpoint_750000.pth,syntacc-tornado-750Ksteps.wav
23,NURC_RE_DID_037,NURC_RE_DID_037_Inf-ue_827_1658.624_1662.9.wav,recife,recife,eu acho que o pessoal toma muito da conta da vida dos outros por isso que eu não suporto,/workspace/data/data/inference_data/NURC_RE_DID_037_Inf-ue_827_1658.624_1662.9.wav,/workspace/data/data/inference_results/NURC_RE_DID_037_Inf-ue_827_1658.624_1662.9-syntacc-tornado-750Ksteps.wav,/workspace/data/data/inference_results/NURC_RE_DID_037_Inf-ue_827_1658.624_1662.9-gt.wav,/workspace/data/data/inference_results/NURC_RE_DID_037_Inf-ue_827_1658.624_1662.9-gt.txt,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/config.json,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/checkpoint_750000.pth,syntacc-tornado-750Ksteps.wav
24,NURC_RE_DID_037,NURC_RE_DID_037_Inf-ue_462_734.994_739.097.wav,recife,recife,teresopólis não tem grande coisa que você ver não só o comércio assim e fábricas,/workspace/data/data/inference_data/NURC_RE_DID_037_Inf-ue_462_734.994_739.097.wav,/workspace/data/data/inference_results/NURC_RE_DID_037_Inf-ue_462_734.994_739.097-syntacc-tornado-750Ksteps.wav,/workspace/data/data/inference_results/NURC_RE_DID_037_Inf-ue_462_734.994_739.097-gt.wav,/workspace/data/data/inference_results/NURC_RE_DID_037_Inf-ue_462_734.994_739.097-gt.txt,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/config.json,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/checkpoint_750000.pth,syntacc-tornado-750Ksteps.wav
25,NURC_RE_DID_044,NURC_RE_DID_044_Inf-ue_1398_2118.166_2123.262.wav,recife,recife,quando tem o rosto assim pequeno feito eu fica muito melhor mas o cabelo grande eu vejo mesmo,/workspace/data/data/inference_data/NURC_RE_DID_044_Inf-ue_1398_2118.166_2123.262.wav,/workspace/data/data/inference_results/NURC_RE_DID_044_Inf-ue_1398_2118.166_2123.262-syntacc-tornado-750Ksteps.wav,/workspace/data/data/inference_results/NURC_RE_DID_044_Inf-ue_1398_2118.166_2123.262-gt.wav,/workspace/data/data/inference_results/NURC_RE_DID_044_Inf-ue_1398_2118.166_2123.262-gt.txt,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/config.json,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/checkpoint_750000.pth,syntacc-tornado-750Ksteps.wav
26,NURC_RE_DID_044,NURC_RE_DID_044_Inf-ue_1271_1900.783_1905.05.wav,recife,recife,era velha parece que ficou cega eu não cheguei a alcançar ela muito não,/workspace/data/data/inference_data/NURC_RE_DID_044_Inf-ue_1271_1900.783_1905.05.wav,/workspace/data/data/inference_results/NURC_RE_DID_044_Inf-ue_1271_1900.783_1905.05-syntacc-tornado-750Ksteps.wav,/workspace/data/data/inference_results/NURC_RE_DID_044_Inf-ue_1271_1900.783_1905.05-gt.wav,/workspace/data/data/inference_results/NURC_RE_DID_044_Inf-ue_1271_1900.783_1905.05-gt.txt,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/config.json,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/checkpoint_750000.pth,syntacc-tornado-750Ksteps.wav
27,NURC_RE_DID_044,NURC_RE_DID_044_Inf-ue_1471_2233.575_2237.76.wav,recife,recife,acho bonito uma moça bem maquiada acho muito bonito mas eu mesmo não,/workspace/data/data/inference_data/NURC_RE_DID_044_Inf-ue_1471_2233.575_2237.76.wav,/workspace/data/data/inference_results/NURC_RE_DID_044_Inf-ue_1471_2233.575_2237.76-syntacc-tornado-750Ksteps.wav,/workspace/data/data/inference_results/NURC_RE_DID_044_Inf-ue_1471_2233.575_2237.76-gt.wav,/workspace/data/data/inference_results/NURC_RE_DID_044_Inf-ue_1471_2233.575_2237.76-gt.txt,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/config.json,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/checkpoint_750000.pth,syntacc-tornado-750Ksteps.wav
28,NURC_RE_DID_044,NURC_RE_DID_044_Inf-ue_1289_1935.848_1939.98.wav,recife,recife,para as alunas nessa festa papai foi e conheceu mamãe,/workspace/data/data/inference_data/NURC_RE_DID_044_Inf-ue_1289_1935.848_1939.98.wav,/workspace/data/data/inference_results/NURC_RE_DID_044_Inf-ue_1289_1935.848_1939.98-syntacc-tornado-750Ksteps.wav,/workspace/data/data/inference_results/NURC_RE_DID_044_Inf-ue_1289_1935.848_1939.98-gt.wav,/workspace/data/data/inference_results/NURC_RE_DID_044_Inf-ue_1289_1935.848_1939.98-gt.txt,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/config.json,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/checkpoint_750000.pth,syntacc-tornado-750Ksteps.wav
29,NURC_RE_DID_044,NURC_RE_DID_044_Inf-ue_1240_1857.738_1861.849.wav,recife,recife,agora já papai não papai era um homem que não era moço,/workspace/data/data/inference_data/NURC_RE_DID_044_Inf-ue_1240_1857.738_1861.849.wav,/workspace/data/data/inference_results/NURC_RE_DID_044_Inf-ue_1240_1857.738_1861.849-syntacc-tornado-750Ksteps.wav,/workspace/data/data/inference_results/NURC_RE_DID_044_Inf-ue_1240_1857.738_1861.849-gt.wav,/workspace/data/data/inference_results/NURC_RE_DID_044_Inf-ue_1240_1857.738_1861.849-gt.txt,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/config.json,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/checkpoint_750000.pth,syntacc-tornado-750Ksteps.wav
30,NURC_RE_DID_045,NURC_RE_DID_045_Inf-ue_697_2191.444_2197.607.wav,recife,recife,a gente é quem vai elaborar tudo aquilo que o monitor vai fazer é tirar uma oportunidade da gente criar,/workspace/data/data/inference_data/NURC_RE_DID_045_Inf-ue_697_2191.444_2197.607.wav,/workspace/data/data/inference_results/NURC_RE_DID_045_Inf-ue_697_2191.444_2197.607-syntacc-tornado-750Ksteps.wav,/workspace/data/data/inference_results/NURC_RE_DID_045_Inf-ue_697_2191.444_2197.607-gt.wav,/workspace/data/data/inference_results/NURC_RE_DID_045_Inf-ue_697_2191.444_2197.607-gt.txt,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/config.json,/workspace/data/checkpoints/YourTTS-Syntacc-PT_NURC-September-02-2026_02+35AM-bf39f425/checkpoint_750000.pth,syntacc-tornado-750Ksteps.wav
